Track Number,Album Artist,Song,Duration,Composer,Album,Artist,Plays,Year
1 of 17,Relient K,Kick-Off,0:39,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,31,2001
2 of 17,Relient K,Pressing On,3:30,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,53,2001
3 of 17,Relient K,Sadie Hawkins Dance,2:58,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,68,2001
4 of 17,Relient K,Down In Flames,4:08,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,36,2001
5 of 17,Relient K,Maybe It's Maybeline,3:15,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,33,2001
6 of 17,Relient K,Breakdown,3:46,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,42,2001
7 of 17,Relient K,Those Words Are Not Enough,4:39,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,58,2001
8 of 17,Relient K,For The Moments I Feel Faint,3:48,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,53,2001
9 of 17,Relient K,Lion Wilson,0:36,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,26,2001
10 of 17,Relient K,I'm Lion-O,2:55,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,42,2001
11 of 17,Relient K,What Have You Been Doing Lately?,3:24,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,27,2001
12 of 17,Relient K,May The Horse Be With You,2:18,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,24,2001
13 of 17,Relient K,My Way Or The Highway...,3:47,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,38,2001
14 of 17,Relient K,Breakfast At Timpani's,0:23,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,30,2001
15 of 17,Relient K,The Rest Is Up To You,4:05,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,24,2001
16 of 17,Relient K,Failure To Excommunicate,3:36,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,53,2001
17 of 17,Relient K,Less Is More,4:25,Mathew Thiessen,The Anatomy of the Tongue in Cheek,Relient K,67,2001
18,Relient K,Skittles and Combos,1:26,,The Anatomy of the Tongue in Cheek,Relient K,17,2001
19,Relient K,The Ballad of Tim Eddings,1:10,,The Anatomy of the Tongue in Cheek,Relient K,20,2001
1 of 3,Relient K,Who I Am Hates Who I've Been,3:12,,AOL Sessions,Relient K,13,2007
2 of 3,Relient K,Faking My Own Suicide,3:09,,AOL Sessions,Relient K,19,2007
3 of 3,Relient K,Surf Wax America (Weezer Cover),3:04,,AOL Sessions,Relient K,43,2007
1 of 7,Relient K,The Truth,3:18,Matthew Thiessen,Apathetic,Relient K,1,2005
2 of 7,Relient K,Apathetic Way to Be,3:21,Matthew Thiessen,Apathetic,Relient K,,2005
3 of 7,Relient K,Be My Escape (Acoustic),4:03,Matthew Thiessen,Apathetic,Relient K,46,2005
4 of 7,Relient K,"Which to Bury, Us or the Hatchet (Acoustic)",2:44,Matthew Thiessen,Apathetic,Relient K,3,2005
5 of 7,Relient K,Over Thinking (Acoustic),4:09,Matthew Thiessen,Apathetic,Relient K,6,2005
6 of 7,Relient K,In Like a Lion (Always Winter),3:43,Matthew Thiessen,Apathetic,Relient K,,2005
7 of 7,Relient K,The Thief,2:22,Matthew Thiessen,Apathetic,Relient K,38,2005
1 of 1,Relient K,Between You and Me,3:37,,Between You and Me (Single),Relient K,64,2006
10 of 26,Relient K,There Was Another Time In My Life,2:51,,The Bird and the Bee Sides,Relient K,71,2008
,Relient K,Where Do I Go - Acoustic,2:54,,The Bird and the Bee Sides,Relient K,40,2008
1 of 26,Relient K,Where Do I Go from Here,2:15,,The Bird and the Bee Sides,Relient K,2,2008
2 of 26,Relient K,The Scene and Herd,2:54,,The Bird and the Bee Sides,Relient K,2,2008
3 of 26,Relient K,At Least We Made It This Far,2:54,,The Bird and the Bee Sides,Relient K,7,2008
4 of 26,Relient K,"The Last, the Lost, the Least",2:25,,The Bird and the Bee Sides,Relient K,3,2008
5 of 26,Relient K,The Lining Is Silver,3:41,,The Bird and the Bee Sides,Relient K,8,2008
6 of 26,Relient K,There Was No Thief,3:23,,The Bird and the Bee Sides,Relient K,5,2008
7 of 26,Relient K,No Reaction,1:03,,The Bird and the Bee Sides,Relient K,1,2008
8 of 26,Relient K,Curl Up and Die,4:08,,The Bird and the Bee Sides,Relient K,1,2008
9 of 26,Relient K,You'll Always Be My Best Friend,1:40,,The Bird and the Bee Sides,Relient K,7,2008
11 of 26,Relient K,Beaming,1:01,,The Bird and the Bee Sides,Relient K,1,2008
12 of 26,Relient K,I Just Want You to Know,2:57,,The Bird and the Bee Sides,Relient K,8,2008
13 of 26,Relient K,Bee Your Man,1:38,,The Bird and the Bee Sides,Relient K,2,2008
14 of 26,Relient K,Up and Up [Acoustic],4:06,,The Bird and the Bee Sides,Relient K,16,2008
15 of 26,Relient K,Wit's All Been Done Before,3:30,,The Bird and the Bee Sides,Relient K,1,2008
16 of 26,Relient K,The Vinyl Countdown,2:50,,The Bird and the Bee Sides,Relient K,5,2008
17 of 26,Relient K,For the Band,4:15,,The Bird and the Bee Sides,Relient K,2,2008
18 of 26,Relient K,Nothing Without You,4:14,,The Bird and the Bee Sides,Relient K,1,2008
19 of 26,Relient K,A Penny Loafer Saved Is a Penny Loafer Earned,2:19,,The Bird and the Bee Sides,Relient K,2,2008
20 of 26,Relient K,Five Iron Frenzy Is Either Dead or Dying,0:32,,The Bird and the Bee Sides,Relient K,3,2008
21 of 26,Relient K,Five Iron Frenzy Is Either Dead or Dying (Ska Version),0:42,,The Bird and the Bee Sides,Relient K,1,2008
22 of 26,Relient K,Who I Am Hates Who I've Been (Acoustic),3:18,,The Bird and the Bee Sides,Relient K,4,2008
23 of 26,Relient K,Here I Go (Demo),2:35,,The Bird and the Bee Sides,Relient K,6,2008
24 of 26,Relient K,The Stenographer (Demo),2:31,,The Bird and the Bee Sides,Relient K,3,2008
25 of 26,Relient K,Jefferson Airplane (Demo),3:59,,The Bird and the Bee Sides,Relient K,4,2008
26 of 26,Relient K,Hope for Every Fallen Man (Acoustic),3:26,,The Bird and the Bee Sides,Relient K,53,2008
1 of 11,Relient K,Don't Blink,3:02,Relient K,Collapsible Lung,Relient K,229,2013
2 of 11,Relient K,Boomerang,2:47,Relient K,Collapsible Lung,Relient K,84,2013
3 of 11,Relient K,Lost Boy,3:10,Relient K,Collapsible Lung,Relient K,96,2013
4 of 11,Relient K,If I Could Take You Home,3:32,Relient K,Collapsible Lung,Relient K,75,2013
5 of 11,Relient K,Can't Complain,3:14,Relient K,Collapsible Lung,Relient K,96,2013
6 of 11,Relient K,Gloria,2:58,Relient K,Collapsible Lung,Relient K,73,2013
7 of 11,Relient K,PTL,3:24,Relient K,Collapsible Lung,Relient K,109,2013
8 of 11,Relient K,Disaster,2:58,Relient K,Collapsible Lung,Relient K,123,2013
9 of 11,Relient K,When You Were My Baby,2:44,Relient K,Collapsible Lung,Relient K,116,2013
10 of 11,Relient K,Sweeter,4:27,Relient K,Collapsible Lung,Relient K,101,2013
11 of 11,Relient K,Collapsible Lung,3:21,Relient K,Collapsible Lung,Relient K,127,2013
12 of 12,Relient K,That's My Jam (feat. Owl City),2:43,"Matthew Thiessen, Brian Lee, Matthew Hoopes & Sam Hollander",Collapsible Lung,Relient K,129,2013
1 of 3,Relient K,The Halloween Blues,2:37,,The Creepier EP...er,Relient K,14,2016
2 of 3,Relient K,The Cup,3:14,,The Creepier EP...er,Relient K,45,2016
3 of 3,Relient K,Halloween In Owatonna,1:25,,The Creepier EP...er,Relient K,21,2016
1 of 6,Relient K,Pressing On,3:31,,The Creepy EP,Relient K,17,2001
2 of 6,Relient K,Those Words Are Not Enough,4:50,,The Creepy EP,Relient K,19,2001
3 of 6,Relient K,Operation,2:33,,The Creepy EP,Relient K,14,2001
4 of 6,Relient K,Softer To Me (acoustic),4:13,,The Creepy EP,Relient K,10,2001
5 of 6,Relient K,Jefferson Airplane (demo),3:57,,The Creepy EP,Relient K,13,2001
6 of 6,Relient K,Pressing On (back porch acoustic),7:00,,The Creepy EP,Relient K,5,2001
10 of 10,Relient K,Auld Lang Syne,4:05,,"Deck The Halls, Bruise Your Hand",Relient K,8,2003
15 of 51,Relient K,Breakdown (Live),4:14,Brian Pittman/Matt Hoopes/Matt Thiessen/Relient K/Stephen Cushman,The First Three Gears (2000-2003) [Deluxe Version],Relient K,18,2010
16 of 51,Relient K,Softer to Me (Acoustic),4:13,,The First Three Gears (2000-2003) [Deluxe Version],Relient K,20,2010
34 of 51,Relient K,Operation,2:33,,The First Three Gears (2000-2003) [Deluxe Version],Relient K,27,2010
36 of 51,Relient K,Pressing On (Back Porch Acoustic),6:58,,The First Three Gears (2000-2003) [Deluxe Version],Relient K,16,2010
1 of 15,Relient K,Pleading the Fifth (A Cappella),1:14,Matthew Thiessen,Five Score and Seven Years Ago,Relient K,3,2007
2 of 15,Relient K,Come Right Out and Say It,3:00,,Five Score and Seven Years Ago,Relient K,10,2007
3 of 15,Relient K,I Need You,3:19,,Five Score and Seven Years Ago,Relient K,71,2007
4 of 15,Relient K,The Best Thing,3:28,,Five Score and Seven Years Ago,Relient K,4,2007
5 of 15,Relient K,Forgiven,4:05,,Five Score and Seven Years Ago,Relient K,3,2007
6 of 15,Relient K,Must Have Done Something Right,3:20,,Five Score and Seven Years Ago,Relient K,1,2007
7 of 15,Relient K,Give Until There's Nothing Left,3:27,,Five Score and Seven Years Ago,Relient K,2,2007
8 of 15,Relient K,Devastation and Reform,3:42,,Five Score and Seven Years Ago,Relient K,13,2007
9 of 15,Relient K,I'm Taking You With Me,3:29,,Five Score and Seven Years Ago,Relient K,1,2007
10 of 15,Relient K,Faking My Own Suicide,3:24,,Five Score and Seven Years Ago,Relient K,,2007
11 of 15,Relient K,Crayons Can Melt On Us for All I Care,0:12,,Five Score and Seven Years Ago,Relient K,2,2007
12 of 15,Relient K,Bite My Tongue,3:31,,Five Score and Seven Years Ago,Relient K,3,2007
13 of 15,Relient K,Up and Up,4:04,,Five Score and Seven Years Ago,Relient K,10,2007
14 of 15,Relient K,Deathbed,11:05,,Five Score and Seven Years Ago,Relient K,1,2007
15 of 15,Relient K,Sloop John B (Bonus Track),3:37,,Five Score and Seven Years Ago,Relient K,78,2007
,Relient K,Digital Booklet - Five Score and Seven Years Ago,,,Five Score and Seven Years Ago,Relient K,,2007
2 of 16,Relient K,Forget And Not Slow Down,3:22,Matthew Thiessen,Forget And Not Slow Down,Relient K,321,2009
3 of 16,Relient K,I Don't Need A Soul,3:51,Matthew Thiessen,Forget And Not Slow Down,Relient K,205,2009
4 of 16,Relient K,Candlelight,3:21,Matthew R. Hoopes,Forget And Not Slow Down,Relient K,175,2009
4 of 16,Relient K,Flare,1:00,Matthew Thiessen,Forget And Not Slow Down,Relient K,140,2009
5 of 16,Relient K,Part Of It,3:20,Matthew Thiessen,Forget And Not Slow Down,Relient K,147,2009
6 of 16,Relient K,Outro,1:35,Matthew Thiessen,Forget And Not Slow Down,Relient K,113,2009
7 of 16,Relient K,Therapy,3:43,Matthew Thiessen,Forget And Not Slow Down,Relient K,213,2009
8 of 16,Relient K,Over It,3:54,Matthew Thiessen,Forget And Not Slow Down,Relient K,131,2009
9 of 16,Relient K,Sahara,3:49,Matthew Thiessen,Forget And Not Slow Down,Relient K,190,2009
10 of 16,Relient K,Oasis,0:41,Matthew Thiessen,Forget And Not Slow Down,Relient K,116,2009
11 of 16,Relient K,Savannah,4:17,Matthew Thiessen,Forget And Not Slow Down,Relient K,113,2009
12 of 16,Relient K,Baby,0:46,Matthew Thiessen,Forget And Not Slow Down,Relient K,94,2009
13 of 16,Relient K,If You Believe Me,3:20,Matthew Thiessen,Forget And Not Slow Down,Relient K,133,2009
14 of 16,Relient K,This Is The End,2:17,Matthew Thiessen,Forget And Not Slow Down,Relient K,92,2009
15 of 16,Relient K,(If You Want It),3:18,Matthew Thiessen,Forget And Not Slow Down,Relient K,74,2009
16 of 16,Relient K,Terminals,3:12,Matthew Thiessen,Forget And Not Slow Down,Relient K,143,2009
1 of 16,Relient K,[hidden],0:23,,Forget And Not Slow Down,Relient K,84,
2 of 14,Relient K,What Can I Do,4:20,,Freedom: Artists United For International Justice Mission [Disc 1],Relient K,135,2010
1 of 1,Relient K,Be My Escape,3:09,"Amund Bjorklund, Espen Lind & Pat Monahan",Music Videos,Relient K,12,2010
,Relient K,"Chap Stick, Chapped Lips, and Things Like Chemistry",3:21,,Music Videos,Relient K,10,2010
,Relient K,Forget and Not Slow Down,0:58,,Music Videos,Relient K,1,
,Relient K,Pressing On,4:01,,Music Videos,Relient K,3,
1 of 7,Relient K,Girls Just Want to Have Fun,2:49,Robert Hazard,Is For Karaoke,Relient K,65,2011
1 of 14,Relient K,Girls Just Want To Have Fun (Originally Performed By Cyndi Lauper),2:51,Robert Hazard,Is For Karaoke,Relient K,83,2011
2 of 14,Relient K,Baby (Originally Performed By Justin Bieber),2:49,Christine Flores/Christopher Bridges/Christopher Stewart/Justin Bieber/Terius Nash,Is For Karaoke EP,Relient K,74,2011
3 of 14,Relient K,One Headlight (Originally Performed By The Wallflowers),4:17,Jakob Dylan,Is For Karaoke,Relient K,184,2011
4 of 14,Relient K,You're The Inspiration (Originally Performed By Chicago),3:45,David Foster/Peter Cetera,Is For Karaoke,Relient K,98,2011
5 of 14,Relient K,The Distance (Originally Performed By Cake),2:54,Gregory Brown,Is For Karaoke,Relient K,168,2011
6 of 14,Relient K,Crazy (Originally Performed By Gnarls Barkley),2:50,Brian Burton/Gian Franco Reverberi/Gian Piero Reverberi/Thomas Callaway,Is For Karaoke,Relient K,82,2011
7 of 14,Relient K,Motorcycle Drive By (Originally Performed By Third Eye Blind),4:15,Gabriel Salazar/Rene Cadogan/Stephan Jenkins,Is For Karaoke,Relient K,138,2011
8 of 14,Relient K,Doctor Worm (Originally Performed By They Might Be Giants),3:03,John Flansburgh/John Linnell,Is For Karaoke,Relient K,76,2011
9 of 14,Relient K,Interstate Love Song (Originally Performed By Stone Temple Pilots),3:39,Dean DeLeo/Eric Kretz/Robert DeLeo/Scott Weiland,Is For Karaoke,Relient K,136,2011
10 of 14,Relient K,Here Comes My Girl (Originally Performed By Tom Petty),4:07,Michael W. Campbell/Thomas Earl Petty,Is For Karaoke,Relient K,82,2011
11 of 14,Relient K,Africa (Originally Performed By Toto),4:57,David Paich/Jeff Porcaro,Is For Karaoke,Relient K,112,2011
12 of 14,Relient K,Surf Wax America (Originally Performed By Weezer),3:01,Patrick Wilson/Rivers Cuomo,Is For Karaoke,Relient K,87,2011
13 of 14,Relient K,Inside Of Love (Originally Performed By Nada Surf),4:03,Daniel Lorca/Ira Elliot/Matthew Caws,Is For Karaoke,Relient K,145,2011
14 of 14,Relient K,Everybody Wants To Rule The World (Originally Performed By Tears For Fears),3:56,Chris Huges/Ian Stanley/Roland Orzabal,Is For Karaoke,Relient K,67,2011
2 of 7,Relient K,Here Comes My Girl,4:05,Mike Campbell & Tom Petty,Is For Karaoke EP,Relient K,64,2011
3 of 7,Relient K,Baby,2:49,"Christina Milian, Christopher Bridges, Christopher Stewart, Justin Bieber & Terius Nash",Is For Karaoke EP,Relient K,84,2011
4 of 7,Relient K,Doctor Worm,3:01,They Might Be Giants,Is For Karaoke EP,Relient K,65,2011
5 of 7,Relient K,Crazy,2:51,"B. Burton, G. Reverberi, G.P. Reverberi & T. Callaway",Is For Karaoke EP,Relient K,64,2011
6 of 7,Relient K,Everybody Wants to Rule the World,3:56,"Chris Hughes, Ian Stanley & Ronald Orzabal",Is For Karaoke EP,Relient K,45,2011
7 of 7,Relient K,Surf Wax America,3:02,Patrick Wilson & Rivers Cuomo,Is For Karaoke EP,Relient K,2,2011
18 of 21,Relient K,Boxing Day,3:38,,Let It Snow Baby... Let It Reindeer,Relient K,23,2007
1 of 20,Relient K,Silver Bells,3:04,,Let It Snow Baby... Let It Reindeer,Relient K,8,2007
2 of 20,Relient K,God Rest Ye Merry Gentlemen,2:05,,Let It Snow Baby... Let It Reindeer,Relient K,1,2007
3 of 20,Relient K,O Holy Night,2:34,,Let It Snow Baby... Let It Reindeer,Relient K,6,2007
4 of 20,Relient K,Have Yourself a Merry Little Christmas,2:12,,Let It Snow Baby... Let It Reindeer,Relient K,85,2007
5 of 20,Relient K,Sleigh Ride,3:33,,Let It Snow Baby... Let It Reindeer,Relient K,6,2007
6 of 20,Relient K,"Merry Christmas, Here's to Many More",3:51,,Let It Snow Baby... Let It Reindeer,Relient K,3,2007
7 of 20,Relient K,Angels We Have Heard On High,1:55,,Let It Snow Baby... Let It Reindeer,Relient K,39,2007
8 of 20,Relient K,Deck the Halls,1:21,,Let It Snow Baby... Let It Reindeer,Relient K,1,2007
9 of 20,Relient K,12 Days of Christmas,3:33,,Let It Snow Baby... Let It Reindeer,Relient K,35,2007
10 of 20,Relient K,Silent Night / Away In a Manger,2:19,,Let It Snow Baby... Let It Reindeer,Relient K,7,2007
11 of 20,Relient K,I Celebrate the Day,3:18,,Let It Snow Baby... Let It Reindeer,Relient K,8,2007
12 of 20,Relient K,In Like a Lion (Always Winter),3:44,,Let It Snow Baby... Let It Reindeer,Relient K,5,2007
13 of 20,Relient K,I'm Getting Nuttin' for Christmas,1:40,,Let It Snow Baby... Let It Reindeer,Relient K,44,2007
14 of 20,Relient K,We Wish You a Merry Christmas,2:12,,Let It Snow Baby... Let It Reindeer,Relient K,2,2007
15 of 20,Relient K,Santa Claus Is Thumbing to Town,2:44,,Let It Snow Baby... Let It Reindeer,Relient K,36,2007
16 of 20,Relient K,Handel's Messiah,1:09,,Let It Snow Baby... Let It Reindeer,Relient K,2,2007
17 of 20,Relient K,I Hate Christmas Parties,4:36,,Let It Snow Baby... Let It Reindeer,Relient K,3,2007
19 of 20,Relient K,Auld Lang Syne,2:53,,Let It Snow Baby... Let It Reindeer,Relient K,31,2007
20 of 20,Relient K,Good King Wenceslas (Hidden Track),3:17,,Let It Snow Baby... Let It Reindeer,Relient K,2,2007
21 of 21,Relient K,Sleigh Ride,3:31,,Let It Snow Baby... Let It Reindeer,Relient K,13,2008
1 of 1,Relient K,Look on Up,4:05,,Look on Up - Single,Relient K,6,2016
1 of 14,Relient K,Mmhmm,0:20,,MMHMM,Relient K,152,2004
1 of 14,Relient K,The One I'm Waiting for,3:02,,MMHMM,Relient K,98,2004
2 of 14,Relient K,Be My Escape,4:00,,MMHMM,Relient K,91,2004
3 of 14,Relient K,High of 75,2:28,,MMHMM,Relient K,96,2004
4 of 14,Relient K,I So Hate Consequences,4:01,,MMHMM,Relient K,89,2004
5 of 14,Relient K,The Only Thing Worse Than Beating a Dead Horse Is Betting On One,1:14,,MMHMM,Relient K,179,2004
6 of 14,Relient K,My Girl's Ex-Boyfriend,2:29,,MMHMM,Relient K,90,2004
7 of 14,Relient K,More Than Useless,3:51,,MMHMM,Relient K,102,2004
8 of 14,Relient K,Which to Bury; Us or the Hatchet?,4:12,,MMHMM,Relient K,89,2004
9 of 14,Relient K,Let It All Out,4:21,,MMHMM,Relient K,182,2004
10 of 14,Relient K,Who I Am Hates Who I've Been (Mmhmm),3:52,,MMHMM,Relient K,97,2004
11 of 14,Relient K,Maintain Consciousness,2:52,,MMHMM,Relient K,86,2004
12 of 14,Relient K,This Week the Trend,2:59,,MMHMM,Relient K,100,2004
13 of 14,Relient K,Life After Death and Taxes (Failure II),4:23,,MMHMM,Relient K,85,2004
14 of 14,Relient K,When I Go Down,6:43,,MMHMM,Relient K,176,2004
19 of 23,Relient K,I So Hate Consequences (Acoustic),4:40,,MMHMM10,Relient K,15,2005
1 of 2,Relient K,Must Have Done Something Right,3:07,,Must Have Done Something Right (Bonus Version) - Single,Relient K,5,2006
2 of 2,Relient K,Fallen Man,3:48,,Must Have Done Something Right EP,Relient K,120,2006
1 of 2,Relient K,Must Have Done Something Right (Radio Edit),3:07,,Must Have Done Something Right EP,Relient K,37,2006
1 of 15,Relient K,Manic Monday,2:44,Prince,Punk Goes 80's,Relient K,40,2005
1 of 14,Relient K,Hello McFly,2:49,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,54,2000
2 of 14,Relient K,My Girlfriend,2:47,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,44,2000
3 of 14,Relient K,Wake Up Call,3:20,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,49,2000
4 of 14,Relient K,Benediction,1:39,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,35,2000
5 of 14,Relient K,When You're Around,2:03,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,40,2000
6 of 14,Relient K,Softer to Me,3:23,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,50,2000
7 of 14,Relient K,Charles in Charge,2:40,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,81,2000
8 of 14,Relient K,Staples,2:59,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,66,2000
9 of 14,Relient K,Anchorage,0:22,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,40,2000
10 of 14,Relient K,17 Magazine,3:07,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,34,2000
11 of 14,Relient K,Balloon Ride,2:59,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,34,2000
12 of 14,Relient K,Everything Will Be,3:31,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,31,2000
13 of 14,Relient K,Nancy Drew,2:49,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,35,2000
14 of 14,Relient K,K Car,12:13,"Cushman/Hoopes, M./Pittman, B./Thiessen, M.",Relient K,Relient K,35,2000
1 of 4,Relient K,Be My Escape (Live),4:32,Matthew Thiessen,Rhapsody Originals,Relient K,21,2007
2 of 4,Relient K,Must Have Done Something Right (Live),3:13,Matthew Thiessen,Rhapsody Originals,Relient K,19,2007
3 of 4,Relient K,Faking My Own Suicide (Live),3:22,Matthew Thiessen,Rhapsody Originals,Relient K,16,2007
4 of 4,Relient K,Sloop John B (Live),3:04,Matthew Thiessen,Rhapsody Originals,Relient K,16,2007
1 of 3,Relient K,Candy Hearts,2:46,,Truly Madly Deeply - Single,Relient K,35,2017
2 of 3,Relient K,Happy Valentimes,2:40,,Truly Madly Deeply - Single,Relient K,32,2017
3 of 3,Relient K,BMI Valentine (Acoustic),2:04,,Truly Madly Deeply - Single,Relient K,37,2017
1 of 15,Relient K,"Chap Stick, Chapped Lips, and Things Like Chemistry",3:10,,Two Lefts Don't Make a Right...But Three Do,Relient K,3,2003
2 of 15,Relient K,Mood Rings,3:19,,Two Lefts Don't Make a Right...But Three Do,Relient K,62,2003
3 of 15,Relient K,Falling Out,3:52,,Two Lefts Don't Make a Right...But Three Do,Relient K,131,2003
4 of 15,Relient K,Forward Motion,3:57,,Two Lefts Don't Make a Right...But Three Do,Relient K,82,2003
5 of 15,Relient K,In Love With the 80's (Pink Tux to the Prom),3:09,,Two Lefts Don't Make a Right...But Three Do,Relient K,102,2003
6 of 15,Relient K,College Kids,3:28,,Two Lefts Don't Make a Right...But Three Do,Relient K,100,2003
7 of 15,Relient K,Trademark,3:55,,Two Lefts Don't Make a Right...But Three Do,Relient K,61,2003
